timestamp_UTC,device_id,lat,lon,pm25,pm10,co,no2,so2,temperature,humidity,aqi,category,hour,timestamp,lat_A,lon_A,wind_speed,wind_dir,u_comp,v_comp,lat_B,lon_B,date,system:index,.geo
2024-01-01 00:00:00+00:00,sensor01,8.71,77.75,32,78,0.9,18,5,30,65,45,Good,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,14.0,77.0,2.1926398277282715,305.0885925292969,-1.794158935546875,1.2604217529296875,14.040761034935713,76.94020207736345,2024-01-01,20240101T084326_20240101T092358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024-01-01 00:00:00+00:00,sensor01,8.71,77.75,32,78,0.9,18,5,30,65,45,Good,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,14.0,77.25,2.1444218158721924,313.1815185546875,-1.563690185546875,1.4674530029296875,14.04745626077056,77.19788342164661,2024-01-01,20240101T084326_20240101T092358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024-01-01 00:00:00+00:00,sensor01,8.71,77.75,32,78,0.9,18,5,30,65,45,Good,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,14.0,77.5,2.338153839111328,318.4447631835937,-1.550994873046875,1.7496795654296875,14.056583244353533,77.44830654654356,2024-01-01,20240101T084326_20240101T092358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024-01-01 00:00:00+00:00,sensor01,8.71,77.75,32,78,0.9,18,5,30,65,45,Good,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,14.0,77.75,2.9883909225463867,320.7483215332031,-1.890838623046875,2.3141326904296875,14.07483720779419,77.6869798185328,2024-01-01,20240101T084326_20240101T092358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024-01-01 00:00:00+00:00,sensor01,8.71,77.75,32,78,0.9,18,5,30,65,45,Good,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,14.0,78.0,3.1947131156921387,324.8752746582031,-1.838104248046875,2.6129608154296875,14.084501072764397,77.93873741425861,2024-01-01,20240101T084326_20240101T092358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024-01-01 00:00:00+00:00,sensor01,8.71,77.75,32,78,0.9,18,5,30,65,45,Good,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,14.0,78.25,2.618466854095459,331.3343200683594,-1.256072998046875,2.2975311279296875,14.074300326406956,78.2081360633805,2024-01-01,20240101T084326_20240101T092358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024-01-01 00:00:00+00:00,sensor01,8.71,77.75,32,78,0.9,18,5,30,65,45,Good,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,14.0,78.5,1.9814473390579224,335.6611022949219,-0.816619873046875,1.8053436279296875,14.058383375406263,78.47278269442889,2024-01-01,20240101T084326_20240101T092358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024-01-01 00:00:00+00:00,sensor01,8.71,77.75,32,78,0.9,18,5,30,65,45,Good,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,14.0,78.75,1.6252270936965942,336.6272888183594,-0.644744873046875,1.4918670654296875,14.048245791345837,78.72851115457226,2024-01-01,20240101T084326_20240101T092358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024-01-01 00:00:00+00:00,sensor01,8.71,77.75,32,78,0.9,18,5,30,65,45,Good,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,14.0,79.0,1.4632912874221802,337.1352233886719,-0.568572998046875,1.3483123779296875,14.043603349477053,78.98104990395399,2024-01-01,20240101T084326_20240101T092358,"{""type"":""MultiPoint"",""coordinates"":[]}"
2024-01-01 00:00:00+00:00,sensor01,8.71,77.75,32,78,0.9,18,5,30,65,45,Good,2024-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,14.0,79.25,0.5817492604255676,18.27288818359375,0.182403564453125,0.5524139404296875,14.017864625900984,79.25607936901224,2024-01-01,20240101T084326_20240101T092358,"{""type"":""MultiPoint"",""coordinates"":[]}"
